STATE,COUNTY,FIPS,POPESTIMATE2019
1,0,01000,4903185
1,1,01001,55869
1,3,01003,223234
1,5,01005,24686
1,7,01007,22394
1,9,01009,57826
1,11,01011,10101
1,13,01013,19448
1,15,01015,113605
1,17,01017,33254
1,19,01019,26196
1,21,01021,44428
1,23,01023,12589
1,25,01025,23622
1,27,01027,13235
1,29,01029,14910
1,31,01031,52342
1,33,01033,55241
1,35,01035,12067
1,37,01037,10663
1,39,01039,37049
1,41,01041,13772
1,43,01043,83768
1,45,01045,49172
1,47,01047,37196
1,49,01049,71513
1,51,01051,81209
1,53,01053,36633
1,55,01055,102268
1,57,01057,16302
1,59,01059,31362
1,61,01061,26271
1,63,01063,8111
1,65,01065,14651
1,67,01067,17205
1,69,01069,105882
1,71,01071,51626
1,73,01073,658573
1,75,01075,13805
1,77,01077,92729
1,79,01079,32924
1,81,01081,164542
1,83,01083,98915
1,85,01085,9726
1,87,01087,18068
1,89,01089,372909
1,91,01091,18863
1,93,01093,29709
1,95,01095,96774
1,97,01097,413210
1,99,01099,20733
1,101,01101,226486
1,103,01103,119679
1,105,01105,8923
1,107,01107,19930
1,109,01109,33114
1,111,01111,22722
1,113,01113,57961
1,115,01115,89512
1,117,01117,217702
1,119,01119,12427
1,121,01121,79978
1,123,01123,40367
1,125,01125,209355
1,127,01127,63521
1,129,01129,16326
1,131,01131,10373
1,133,01133,23629
2,0,02000,731545
2,13,02013,3337
2,16,02016,5634
2,20,02020,288000
2,50,02050,18386
2,60,02060,836
2,68,02068,2097
2,70,02070,4916
2,90,02090,96849
2,100,02100,2530
2,105,02105,2148
2,110,02110,31974
2,122,02122,58708
2,130,02130,13901
2,150,02150,12998
2,158,02158,8314
2,164,02164,1592
2,170,02170,108317
2,180,02180,10004
2,185,02185,9832
2,188,02188,7621
2,195,02195,3266
2,198,02198,6203
2,220,02220,8493
2,230,02230,1183
2,240,02240,6893
2,261,02261,9202
2,275,02275,2502
2,282,02282,579
2,290,02290,5230
4,0,04000,7278717
4,1,04001,71887
4,3,04003,125922
4,5,04005,143476
4,7,04007,54018
4,9,04009,38837
4,11,04011,9498
4,12,04012,21108
4,13,04013,4485414
4,15,04015,212181
4,17,04017,110924
4,19,04019,1047279
4,21,04021,462789
4,23,04023,46498
4,25,04025,235099
4,27,04027,213787
5,0,05000,3017804
5,1,05001,17486
5,3,05003,19657
5,5,05005,41932
5,7,05007,279141
5,9,05009,37432
5,11,05011,10763
5,13,05013,5189
5,15,05015,28380
5,17,05017,10118
5,19,05019,22320
5,21,05021,14551
5,23,05023,24919
5,25,05025,7956
5,27,05027,23457
5,29,05029,20846
5,31,05031,110332
5,33,05033,63257
5,35,05035,47955
5,37,05037,16419
5,39,05039,7009
5,41,05041,11361
5,43,05043,18219
5,45,05045,126007
5,47,05047,17715
5,49,05049,12477
5,51,05051,99386
5,53,05053,18265
5,55,05055,45325
5,57,05057,21532
5,59,05059,33771
5,61,05061,13202
5,63,05063,37825
5,65,05065,13629
5,67,05067,16719
5,69,05069,66824
5,71,05071,26578
5,73,05073,6624
5,75,05075,16406
5,77,05077,8857
5,79,05079,13024
5,81,05081,12259
5,83,05083,21466
5,85,05085,73309
5,87,05087,16576
5,89,05089,16694
5,91,05091,43257
5,93,05093,40651
5,95,05095,6701
5,97,05097,8986
5,99,05099,8252
5,101,05101,7753
5,103,05103,23382
5,105,05105,10455
5,107,05107,17782
5,109,05109,10718
5,111,05111,23528
5,113,05113,19964
5,115,05115,64072
5,117,05117,8062
5,119,05119,391911
5,121,05121,17958
5,123,05123,24994
5,125,05125,122437
5,127,05127,10281
5,129,05129,7881
5,131,05131,127827
5,133,05133,17007
5,135,05135,17442
5,137,05137,12506
5,139,05139,38682
5,141,05141,16545
5,143,05143,239187
5,145,05145,78753
5,147,05147,6320
5,149,05149,21341
6,0,06000,39512223
6,1,06001,1671329
6,3,06003,1129
6,5,06005,39752
6,7,06007,219186
6,9,06009,45905
6,11,06011,21547
6,13,06013,1153526
6,15,06015,27812
6,17,06017,192843
6,19,06019,999101
6,21,06021,28393
6,23,06023,135558
6,25,06025,181215
6,27,06027,18039
6,29,06029,900202
6,31,06031,152940
6,33,06033,64386
6,35,06035,30573
6,37,06037,10039107
6,39,06039,157327
6,41,06041,258826
6,43,06043,17203
6,45,06045,86749
6,47,06047,277680
6,49,06049,8841
6,51,06051,14444
6,53,06053,434061
6,55,06055,137744
6,57,06057,99755
6,59,06059,3175692
6,61,06061,398329
6,63,06063,18807
6,65,06065,2470546
6,67,06067,1552058
6,69,06069,62808
6,71,06071,2180085
6,73,06073,3338330
6,75,06075,881549
6,77,06077,762148
6,79,06079,283111
6,81,06081,766573
6,83,06083,446499
6,85,06085,1927852
6,87,06087,273213
6,89,06089,180080
6,91,06091,3005
6,93,06093,43539
6,95,06095,447643
6,97,06097,494336
6,99,06099,550660
6,101,06101,96971
6,103,06103,65084
6,105,06105,12285
6,107,06107,466195
6,109,06109,54478
6,111,06111,846006
6,113,06113,220500
6,115,06115,78668
8,0,08000,5758736
8,1,08001,517421
8,3,08003,16233
8,5,08005,656590
8,7,08007,14029
8,9,08009,3581
8,11,08011,5577
8,13,08013,326196
8,14,08014,70465
8,15,08015,20356
8,17,08017,1831
8,19,08019,9700
8,21,08021,8205
8,23,08023,3887
8,25,08025,6061
8,27,08027,5068
8,29,08029,31162
8,31,08031,727211
8,33,08033,2055
8,35,08035,351154
8,37,08037,55127
8,39,08039,26729
8,41,08041,720403
8,43,08043,47839
8,45,08045,60061
8,47,08047,6243
8,49,08049,15734
8,51,08051,17462
8,53,08053,820
8,55,08055,6897
8,57,08057,1392
8,59,08059,582881
8,61,08061,1406
8,63,08063,7097
8,65,08065,8127
8,67,08067,56221
8,69,08069,356899
8,71,08071,14506
8,73,08073,5701
8,75,08075,22409
8,77,08077,154210
8,79,08079,769
8,81,08081,13283
